measurement_id,run_id,run_kind,ts,seed_run_id,family,arch,type,total_params,active_params,finetune,repo,gguf_file,quant,effective_bpw,chat_template,kv_quant,flash_attn,ctx,n_parallel,batch,ubatch,spec_decode,sampling_profile,think_mode,host,gpu,vram_total,backend,llamacpp_build,driver,bench,case_id,metric,metric_value,unit,n,spread,status,scope,sampling_hash,engine_version
712547c3,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,halls,0,count,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
5e0b86de,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,json_fail,0,count,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
5b0fd8f0,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_C1,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
eb086cdb,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_C2,0.9444444444444444,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
e225001f,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R1,0,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
522c6c34,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R2,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
2e29f4f1,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R3,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
6e1d8dbe,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R4,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
4a1b167b,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R5,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
ba228290,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R6,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
96200b4d,v100-ninfer-20260825-153123-benchrun,benchrun,2026-08-25 15:32:27.097,,qwen3.8,gated-delta-dense,dense,27,27,instruct,unsloth/Qwen3.8-27B-NVFP4,qwen3_8_27b_nvfp4.ninfer,NVFP4,6.28,builtin,,t,32768,1,,,mtp,qwen3.8/no_think,no_think,rose-ninfer0,V100,32768,ninfer,,,triage,,triage_R7,1,ratio,1,,ok,template,8f2303d0,"ninfer-v100 bceed292 (sm_70, CUDA 12.8)"
